"Label" "Region" "x" "y" "z"
"LH_SomMotA_8" 64 43.6727941176471 21.4436274509804 54.9362745098039
"LH_SomMotA_9" 65 3.55310621242485 23.1983967935872 50.186372745491
"LH_SomMotA_10" 66 43.6315789473684 35.5559210526316 61.3240131578947
"LH_SomMotA_11" 67 40.1466431095406 16.5901060070671 58.3003533568905
"LH_SomMotA_12" 68 7.62553191489362 37.6510638297872 53.463829787234
"LH_SomMotA_13" 69 31.2941176470588 43.0460358056266 56.3478260869565
"LH_SomMotA_14" 70 3.59657320872274 3.8582554517134 60.297507788162
"LH_SomMotA_15" 71 33.295652173913 28.1391304347826 50.8347826086957
"LH_SomMotA_16" 72 31.3688524590164 38.9289617486339 59.6366120218579
"LH_SomMotA_17" 73 31.719512195122 10.0634146341463 64.0682926829268
"LH_SomMotA_18" 74 3.78169014084507 18.7511737089202 58.8028169014084
